longitude,latitude,profile_id
degrees_east,degrees_north,
-81.1016920847176,30.05275608139535,1738598928
-81.10163579598307,30.0527899038055,1738599056
-81.10155982328338,30.052721027187175,1738599173
-81.10218610552764,30.05192351758794,1738600009
-81.10206373229785,30.0519583796254,1738600118
-81.10194929646697,30.051939217357912,1738600232
-81.10191279575491,30.051289313175804,1738601042
-81.10184684669603,30.05131675506608,1738601170
-81.10173754141233,30.051310367592286,1738601225
-81.10145201046338,30.051251288116593,1738601407
-81.10116902878787,30.049985636742427,1738602482
-81.10094193607955,30.04999284730114,1738602591
-81.1002350873181,30.049129998811996,1738603391
-81.09997837432432,30.049096970077215,1738603519
-81.09969045331695,30.049059926114424,1738603645
-81.09946532582583,30.04903096117546,1738603771
-81.09915549600963,30.048973355660923,1738603864
-81.0988537092142,30.048871640074456,1738604061
-81.09855652931792,30.048759460842977,1738604134
-81.09830506940567,30.04866453995479,1738604281
-81.09803191328282,30.04856142919824,1738604354
-81.09776495013962,30.048460656162746,1738604488
-81.09746926275521,30.04834904032346,1738604579
-81.09722597387317,30.04825720382928,1738604698
-81.0969103860882,30.04813807600258,1738604789
-81.09661374172317,30.048026098923017,1738604941
-81.09632165337058,30.047915841643395,1738605032
-81.09599745712008,30.047793464299957,1738605178
-81.09569915820317,30.047680862661473,1738605288
-81.09537599784603,30.047558876346233,1738605433
-81.0950546160465,30.04743756139951,1738605542
-81.09474251283075,30.047319748925233,1738605688
-81.09440074902274,30.047190740194125,1738605798
-81.09407436771326,30.047067538036355,1738605964
-81.09366636138812,30.04691352413243,1738606093
-81.09306648945709,30.04666227598586,1738606257
-81.08578776666667,30.039229524390244,1738610020
-81.08532983636363,30.039022625277163,1738610148
-81.08228147999999,30.03764533658537,1738610293
-81.08124719357143,30.037178031968644,1738611305
-81.07776944692306,30.035606738930582,1738611487
-81.07711409875,30.03531064375,1738612521
-81.07414118923076,30.033967442964354,1738612630
-81.07281718166666,30.033369238414636,1738613726
-81.06937521071428,30.03181410932056,1738613890
-81.06814475909091,30.031258174611978,1738615076
-81.064049022,30.029407665121948,1738616242
-81.06347549866669,30.029148539512185,1738616388
-81.05717190905645,30.024419684198563,1738619550
-81.05699139522547,30.024390389920427,1738619696
-81.05592331145635,30.024217058365547,1738619842
-81.05537854338765,30.024128651913607,1738620915
-81.05402992194013,30.023909793937097,1738621080
-81.05369125040477,30.023854833394193,1738622218
-81.05226402576733,30.023623219477077,1738623302
-81.0520834029304,30.023593907509163,1738623447
-81.05077905712949,30.02338223470566,1738623594
-81.05030786468703,30.023305768307555,1738624802
-81.04893931116099,30.02308367569884,1738624948
-81.04837602927245,30.02299226477359,1738626139
-81.04702703175445,30.022773345767337,1738627306
-81.04682898976884,30.02274120697234,1738627451
-81.04546161930024,30.022519306353416,1738627616
-81.04512413692055,30.022464538789944,1738628741
-81.04368765668814,30.02223142284956,1738628925
-81.04335325761922,30.022177155654195,1738630102
-81.04195018590956,30.021949461340252,1738630285
-81.04154307389162,30.02188339408867,1738631475
-81.04473923746137,30.02207088456672,1738634577
-81.04478394398075,30.022351730757062,1738634760
-81.04506640133867,30.024126126841935,1738634942
-81.04518653239678,30.02488078970757,1738636298
