longitude,latitude,profile_id
degrees_east,degrees_north,
-81.08456953882859,31.07554496228739,1768608083
-81.0846959962544,31.075004524615817,1768608663
-81.08479269899176,31.07459124874933,1768608754
-81.08482405406757,31.074457247412067,1768609265
-81.08491151338633,31.07408347489308,1768609338
-81.0849443334616,31.07394321262731,1768609827
-81.08506128818814,31.07344338638388,1768610361
-81.08508714642927,31.07333287671994,1768610434
-81.0851886856659,31.0728989312377,1768610955
-81.08520129666744,31.07284503594243,1768611028
-81.08102820107983,31.073741419837184,1768613343
-81.07938065356169,31.074016525755805,1768613435
-81.07892790826521,31.07409212473509,1768613937
-81.07740508492277,31.074346404329393,1768613992
-81.0767174520436,31.074461224613987,1768614540
-81.07489442534059,31.07476563188011,1768614595
-81.07439214804721,31.07484950166515,1768615168
-81.07278755018164,31.075117435891613,1768615241
-81.07225010984331,31.075207177168483,1768615764
-81.07054692824704,31.075491572812588,1768615837
-81.07012230646382,31.075562475754364,1768616349
-81.06848484735467,31.07583589712004,1768616421
-81.06796430708447,31.075922816439594,1768616933
-81.06629795706382,31.076201061982218,1768617023
-81.06569289639289,31.076302094437956,1768617561
-81.06394681562215,31.07659365334544,1768617634
-81.06352958383287,31.07666332231305,1768618168
-81.06176517046485,31.076957942380204,1768618223
-81.06124966974467,31.07704402020049,1768618775
-81.0594146898274,31.077350423402965,1768618866
-81.05897419772933,31.07742397635483,1768619422
-81.05723694341506,31.077714061429003,1768619476
-81.05656478279484,31.077826298170493,1768620073
-81.05488619845593,31.078106586587953,1768620146
-81.05416814026208,31.07822648726266,1768620732
-81.05226547642293,31.078544192262086,1768620805
-81.05156756620244,31.078660728647353,1768621437
-81.04950038702188,31.07900590426212,1768621528
-81.04894209922797,31.079099126627312,1768622158
-81.04731387761126,31.079371005525278,1768622249
-81.04675680129175,31.07946402559962,1768622774
-81.04511427273907,31.07973829345616,1768622865
-81.04460522272682,31.07982329414337,1768623365
-81.04270684231507,31.080140283900157,1768623456
-81.04222659366485,31.080220475363305,1768624020
-81.04051605236148,31.08050609992431,1768624092
-81.03985214707407,31.080616958198174,1768624672
-81.0380460983197,31.08091853050258,1768624745
-81.03732466530427,31.081038994701785,1768625358
-81.03387988782227,31.08404904410572,1768627731
-81.03391785705637,31.08424023823937,1768627804
-81.03418753007946,31.085598177140298,1768627877
-81.03431971706394,31.086263804893424,1768628477
-81.03460818093075,31.087716365115398,1768628550
-81.03472416329927,31.088300394501193,1768629140
-81.03504010086264,31.089891298562243,1768629231
-81.03514598368015,31.090424471644173,1768629846
-81.03553981975028,31.092407633749524,1768630504
-81.03559360002522,31.09267844440241,1768630594
-81.03597967741202,31.09462253764661,1768630685
-81.03607424050954,31.095098710261905,1768631408
-81.03639678953209,31.096722906335387,1768631499
-81.03647810886979,31.09713238997892,1768632088
-81.03677345039728,31.098619582671205,1768632161
-81.03689148848531,31.099213963635595,1768632771
-81.03722936256526,31.10091532905789,1768632862
-81.03734268576112,31.101485968175894,1768633527
-81.03770720522135,31.10332150644928,1768633618
-81.03780022261067,31.103789895648884,1768634287
-81.03813154134288,31.10545825160802,1768634396
-81.03821783374006,31.10589277709989,1768635004
-81.03856776799093,31.107654871530283,1768635077
-81.03865976535754,31.108118124404086,1768635727
-81.03899276539285,31.10979494656745,1768635836
-81.03907505101346,31.110209295929945,1768636439
-81.0393351723042,31.111519137068754,1768636512
-81.03946299465252,31.11216278669021,1768637080
-81.03978461528567,31.11378230785723,1768637171
-81.0398626,31.114175,1768637765
-81.04019242542564,31.11583583641179,1768637837
-81.04027810733257,31.11626728777904,1768638446
-81.04062076261823,31.117992728969607,1768638537
-81.0407441600454,31.11861409689403,1768639171
-81.04107738813036,31.12029206740176,1768639791
-81.04112461283893,31.120529867490646,1768639864
-81.0420853034513,31.127512686458253,1768642028
-81.04194833324196,31.127723103528744,1768642101
-81.04089984124374,31.129333823230432,1768642192
-81.04063703740522,31.129737549077745,1768642847
-81.03962149093898,31.13129765702696,1768642938
-81.0393787080606,31.131670626173218,1768643576
-81.03843423158183,31.133121554625408,1768643649
-81.03814844595475,31.133560585672637,1768644279
-81.03714686237136,31.135099243491045,1768644352
-81.03688230780409,31.135505658851766,1768644994
-81.03590991414903,31.13699947437028,1768645085
-81.03568442028552,31.137345883698334,1768645688
-81.03487558360118,31.138588438896775,1768645760
-81.03445385249685,31.13923631279534,1768646382
-81.03339876431856,31.140857165714248,1768646472
-81.03315261640311,31.14123530431487,1768647132
-81.0320594690646,31.142914624670123,1768647205
-81.03173963935188,31.143405955095464,1768647938
-81.03067675247277,31.145038788574134,1768648029
-81.03040811287174,31.145451479466164,1768648692
-81.02930914152778,31.147139746804697,1768648783
-81.02899955432643,31.147615342427187,1768649479
-81.02788965065402,31.149320404282832,1768649607
-81.0274943166488,31.149927726295775,1768650357
-81.02657265522254,31.151343605692166,1768650448
-81.02634028071712,31.151700585234856,1768651027
-81.02552763475481,31.152948992341617,1768651100
-81.02515703818351,31.153518312088238,1768651699
-81.02419633272707,31.1549941719029,1768651772
-81.02395203659252,31.15536946575123,1768652389
-81.02309461150107,31.15668666367917,1768652462
-81.0227438114375,31.157225571534166,1768653070
-81.02173869860728,31.15876965107008,1768653161
-81.02147589476876,31.15917337691739,1768653794
-81.02052205883848,31.160638683593692,1768653885
-81.02015230492563,31.16120670882726,1768654546
-81.01434511359803,31.163825163808387,1768656546
-81.01400068231425,31.163780690985202,1768656619
-81.01144806053472,31.163451097529528,1768656728
-81.01082347678611,31.16337045153735,1768657402
-81.00847188754341,31.163066815318683,1768657493
-81.00789496187771,31.16299232291822,1768658117
-81.00617515652566,31.16277026237106,1768658189
-81.00515009140807,31.162637906392153,1768658784
-81.0027261949877,31.162324933900972,1768658857
-81.00215013019245,31.162250552655745,1768659512
-80.99960416976877,31.161921819311555,1768659585
-80.9989448424777,31.16183668724772,1768660281
-80.99673542746798,31.161551408506497,1768660372
-80.99613610136045,31.161474023770367,1768660966
-80.9937081677547,31.1611605299995,1768661057
-80.99314427091744,31.16108771987592,1768661708
-80.99120671581566,31.16083754357222,1768661780
-80.99026169977242,31.16071552349629,1768662393
-80.98780496559858,31.160398311008123,1768662484
-80.9871740960117,31.160316853391137,1768663144
-80.98442204172687,31.159961509293865,1768663810
-80.98409393729578,31.15991914458706,1768663901
-80.98152336636814,31.159587233544894,1768663974
-80.98089100064783,31.159505582747798,1768664669
-80.97848821039517,31.159195335476156,1768664760
-80.97786374093454,31.159114704240793,1768665407
-80.97612675973346,31.158890425955196,1768665498
-80.97521911734025,31.158773231549308,1768666060
-80.9730845380924,31.158497615570344,1768666151
-80.97226408762313,31.15839167934918,1768666768
-80.96996173363732,31.15809440036627,1768666859
-80.96931911524727,31.15801142574874,1768667483
-80.96687285400725,31.157695565521408,1768667574
-80.96625619768776,31.157615943115566,1768668226
-80.96387489357319,31.15730847012508,1768668317
-80.96331579683063,31.15723627978771,1768668958
-80.95927309283654,31.15947259771672,1768671021
-80.95927841086439,31.15970722097604,1768671112
-80.95931241341529,31.16120736154393,1768671203
-80.95932131618785,31.161600138259523,1768671840
-80.95935221327312,31.162963270430307,1768671931
-80.95936019312866,31.163315329458577,1768672508
-80.95938774020597,31.16453066439936,1768672580
-80.95940117852214,31.165123542366082,1768673192
-80.95943164228663,31.1664675570861,1768673283
-80.95943954992205,31.166816429872576,1768673850
-80.95946925584411,31.168127009743657,1768673923
-80.95947680144094,31.168459909941397,1768674486
-80.95950207780476,31.169575064474632,1768674559
-80.95951462978297,31.170128838564803,1768675127
-80.95954014736373,31.171254635220862,1768675200
-80.95955315312652,31.17182842959299,1768675773
-80.95958120898484,31.1730662111746,1768675846
-80.95959232551333,31.173556655417556,1768676427
-80.95962744896842,31.17510624856468,1768676518
-80.95963629444235,31.175496497352906,1768677169
-80.9596750641188,31.177206956211727,1768677260
-80.95968429456781,31.177614189511985,1768677981
-80.95971443793752,31.17894406890478,1768678072
-80.95972590649438,31.179450044101536,1768678687
-80.95975707276376,31.180825052264463,1768678778
-80.95976561443567,31.18120189777109,1768679360
-80.9597986223184,31.182658155099737,1768679451
-80.95980763998662,31.183056000836366,1768680071
-80.95984062489022,31.184511244360806,1768680162
-80.9598488776816,31.184875344900263,1768680778
-80.959884449379,31.186444713812573,1768681377
-80.95988912399113,31.186650950554093,1768681450
-80.95992272440724,31.188133349548366,1768681541
-80.95993338836617,31.18860382711496,1768682197
-80.95997025763849,31.190230443049234,1768682288
-80.95997897732406,31.190615142246894,1768682974
-80.96077579312026,31.196451303286956,1768685420
